SpatialDimensionValueCode,diabetes_mean,diabetes_min,diabetes_max,Country
AFG,16389314.904040404,24224.0,33295047.0,Eastern Mediterranean
AFR,491149277332674.1,106539.0,8.5766114e+16,
AGO,16311950.91919192,19187.0,98224975.0,Africa
ALB,476175427657509.25,70565.0,9.4282724e+16,Europe
AMR,33764398.44949495,12042.0,99699363.0,
AND,371211732278612.6,117428.0,7.3499911e+16,Europe
ARE,26791636.494949494,257092.0,36979949.0,Eastern Mediterranean
ARG,48229648.06060606,104119.0,99833384.0,Americas
ARM,56940717331306.41,120506.0,1.1274254e+16,Europe
ASM,30462906.444444444,41959.0,43908226.0,Western Pacific
ATG,21102595.601010103,108959.0,99812917.0,Americas
AUS,54880569.17676768,75397.0,99455945.0,Western Pacific
AUT,50041288.75757576,3415294.0,77928714.0,Europe
AZE,31712017.035353534,125025.0,99852346.0,Europe
BDI,66375274.57575758,817682.0,98997042.0,Africa
BEL,256899110847946.88,3497.0,5.0866015e+16,Europe
BEN,366169560024558.56,642116.0,7.2501563e+16,Africa
BFA,610441979447545.4,67961.0,6.0542319e+16,Africa
BGD,18769710.62121212,153393.0,99078551.0,South-East Asia
BGR,473910377308663.2,67589.0,9.3834244e+16,Europe
BHR,18056026.343434345,180545.0,29979917.0,Eastern Mediterranean
BHS,21664256.560606062,203345.0,99795662.0,Americas
BIH,455396162307750.44,734917.0,9.0168431e+16,Europe
BLR,54966611.31818182,50517.0,98015718.0,Europe
BLZ,25768537.242424242,229.0,99708937.0,Americas
BMU,102756470101891.6,119279.0,2.03457769999999e+16,Americas
BOL,140834145348557.56,147475.0,1.4635459e+16,Americas
BRA,496004881916164.3,146.0,8.6523987e+16,Americas
BRB,289948062967332.5,1114929.0,3.11140389999999e+16,Americas
BRN,18057544.53030303,157901.0,99503338.0,Western Pacific
BTN,18294880.277777776,131569.0,99546291.0,South-East Asia
BWA,57839939.833333336,681872.0,99632517.0,Africa
CAF,75150379616498.88,21672.0,1.4879772e+16,Africa
CAN,65481175.54545455,921821.0,99858999.0,Americas
CHE,302541005676616.9,275265.0,5.9903111e+16,Europe
CHL,205776860501234.38,110392.0,1.52561889999999e+16,Americas
CHN,56045497.247474745,870502.0,99555641.0,Western Pacific
CIV,53071013.42929293,820328.0,99914782.0,Africa
CMR,499357786313186.94,106704.0,5.4332916e+16,Africa
COD,56958514.0,776418.0,99632964.0,Africa
COG,51407470392308.42,112388.0,1.0178674e+16,Africa
COK,193821310716648.16,372224.0,3.83766139999999e+16,Western Pacific
COL,41806618.31313131,145841.0,98594867.0,Americas
COM,49681834.58080808,496413.0,81470437.0,Africa
CPV,435268085864339.6,1057982.0,8.6183071e+16,Africa
CRI,129571984228276.53,1052677.0,2.5655246e+16,Americas
CUB,31128314.106060605,102685.0,99773131.0,Americas
CYP,462162511750917.7,744.0,7.9689063e+16,Europe
CZE,58956622343336.68,743545.0,1.16734e+16,Europe
DEU,330929639091256.6,108944.0,6.5524057e+16,Europe
DJI,67999517.17171717,680205.0,99863373.0,Eastern Mediterranean
DMA,20696341.116161615,1097498.0,98051533.0,Americas
DNK,113799114914018.67,352454.0,2.2532219e+16,Europe
DOM,80855324789281.44,220651.0,1.6009347e+16,Americas
DZA,15533122.434343435,137476.0,98684631.0,Africa
ECU,48202077.31313131,786561.0,99389486.0,Americas
EGY,234965926567689.84,137483.0,1.9639818e+16,Eastern Mediterranean
EMR,17519132.555555556,131732.0,99252015.0,
ERI,437968671035607.94,1000569.0,8.6717784e+16,Africa
ESP,55425406.65151515,671032.0,99933095.0,Europe
EST,54910007.01010101,550403.0,99895932.0,Europe
ETH,388127180507854.3,5261042.0,7.684917e+16,Africa
EUR,381629295871684.06,533594.0,7.55625889999999e+16,
FIN,52332637.5,5711.0,96933939.0,Europe
FJI,73357917225083.81,170462.0,1.4524864e+16,Western Pacific
FRA,44667229.42424242,374026.0,83690688.0,Europe
FSM,116334876030531.98,397154.0,2.30343e+16,Western Pacific
GAB,26090433.601010103,14179.0,99970773.0,Africa
GBR,426941157520811.1,52779.0,7.3960572e+16,Europe
GEO,402172600865342.4,112316.0,7.96301659999999e+16,Europe
GHA,406546328467127.2,1190033.0,8.0496162e+16,Africa
GIN,57759219.222222224,712744.0,99694133.0,Africa
GLOBAL,501401911176196.06,685886.0,9.92775709999999e+16,
GMB,519085327147192.75,122797.0,8.0144145e+16,Africa
GNB,296484300786140.2,1000476.0,5.8703881e+16,Africa
GNQ,25817534.974747475,120724.0,99822462.0,Africa
GRC,677726677723013.1,53771.0,8.4994942e+16,Europe
GRD,62245338693247.46,13474.0,1.23245729999999e+16,Americas
GRL,64217713.60606061,588599.0,95058382.0,Europe
GTM,21688831.222222224,13234.0,99284127.0,Americas
GUY,80178328675194.55,10767.0,1.5875305e+16,Americas
HND,42164865.02020202,100213.0,99893846.0,Americas
HRV,452947040414001.3,82121.0,8.9683503e+16,Europe
HTI,20152190.91919192,24132.0,99699438.0,Americas
HUN,48863304.853535354,100521.0,99221319.0,Europe
